"Qubit","T1 (us)","T2 (us)","Readout assignment error","Init error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"45","77.14772692926222","90.41372590433438","0.005859375","0.0020035218912345643","0.0087890625","0.0029296875","2180","0.0003414155930893006","32","0.0003414155930893006","0","0.0003414155930893006","0.0003414155930893006","44:0.0017797118089657171;46:0.0018971715083035134;37:0.001936697825361905","44:68;46:68;37:68","44:0.0015697917205329537;46:0.00976263319643389;37:0.003017370169256711","0.005859375","0.00341796875","Yes"
"46","113.55428782234817","49.711345094488294","0.0074462890625","0.001400905753040522","0.011474609375","0.00341796875","2180","0.00037152160813296394","32","0.00037152160813296394","0","0.00037152160813296394","0.00037152160813296394","45:0.0018971715083035134;47:0.0018805090401910751","45:68;47:68","45:0.00976263319643389;47:0.010561424581713413","0.0074462890625","0.004638671875","Yes"
"47","392.50861236558484","358.4590644743965","0.004150390625","0.0017064123568416396","0.00634765625","0.001953125","2180","0.0006780828676738795","32","0.0006780828676738795","0","0.0006780828676738795","0.0006780828676738795","48:0.004254935666661325;57:0.0014859684442133092;46:0.0018805090401910751","48:68;57:68;46:68","48:0.0025360285527782356;57:0.001969276647699275;46:0.010561424581713413","0.004150390625","0.004638671875","Yes"
"48","159.70629508921448","19.890584649022475","0.004638671875","0.0011978409617037244","0.008056640625","0.001220703125","2180","0.0003946759347674458","32","0.0003946759347674458","0","0.0003946759347674458","0.0003946759347674458","47:0.004254935666661325;49:0.0017705958091542018","47:68;49:68","47:0.0025360285527782356;49:0.002087089966055805","0.004638671875","0.0341796875","Yes"
"49","228.58494842522947","97.21140322489252","0.00732421875","0.0016486655571103486","0.009765625","0.0048828125","2180","0.00036711435175119234","32","0.00036711435175119234","0","0.00036711435175119234","0.00036711435175119234","48:0.0017705958091542018;50:0.0016294402990371937;38:0.0015187686252996768","48:68;50:68;38:68","48:0.002087089966055805;50:0.00307186603953552;38:0.001243615789983804","0.00732421875","0.005859375","Yes"
"50","350.27112386412693","359.8663139516546","0.0050048828125","0.0008004822279245067","0.0048828125","0.001953125","2180","0.00025378540614716497","32","0.00025378540614716497","0","0.00025378540614716497","0.00025378540614716497","49:0.0016294402990371937;51:0.005394207161750569","49:68;51:68","49:0.00307186603953552;51:0.002232983025136942","0.0050048828125","0.0087890625","Yes"
"51","258.2640712501853","234.88093105401651","0.025146484375","","0.026123046875","0.024169921875","2180","0.00015368716991906445","32","0.00015368716991906445","0","0.00015368716991906445","0.00015368716991906445","50:0.005394207161750569;52:0.005319533491590478;58:0.002462832967483314","50:68;52:68;58:68","50:0.002232983025136942;52:0.001840381239695127;58:0.0018706321961811656","0.025146484375","0.02490234375","Yes"
"52","113.34519952861196","51.651782742289114","0.0189208984375","0.0004016855606809642","0.0341796875","0.003662109375","2180","0.00032567382223747506","32","0.00032567382223747506","0","0.00032567382223747506","0.00032567382223747506","51:0.005319533491590478;53:0.0019396571129672024","51:68;53:68","51:0.001840381239695127;53:0.0014665795800775094","0.0189208984375","0.008056640625","Yes"
"53","240.8935983348258","57.79738168919421","0.0042724609375","0.0009888180332087281","0.00732421875","0.001220703125","2180","0.0001822780681843072","32","0.0001822780681843072","0","0.0001822780681843072","0.0001822780681843072","39:0.001678753096283403;52:0.0019396571129672024;54:0.0014833062816314302","39:68;52:68;54:68","39:0.00167909956995424;52:0.0014665795800775094;54:0.001262595255206167","0.0042724609375","0.0712890625","Yes"
"54","234.60747165282424","163.82658851554828","0.030029296875","","0.0322265625","0.02783203125","2180","0.0003038892588010957","32","0.0003038892588010957","0","0.0003038892588010957","0.0003038892588010957","53:0.0014833062816314302;55:0.002282215588720188","53:68;55:68","53:0.001262595255206167;55:0.0017711216848765865","0.030029296875","0.02783203125","Yes"
"55","472.0133847619341","98.38039475820047","0.00732421875","0.00538547577572166","0.007568359375","0.007080078125","2180","0.0001578128918234663","32","0.0001578128918234663","0","0.0001578128918234663","0.0001578128918234663","59:0.0010624645666186538;54:0.002282215588720188","59:68;54:68","59:0.001904151725170028;54:0.0017711216848765865","0.00732421875","0.012451171875","Yes"
"56","252.04207233665772","41.29381957721733","0.007080078125","0.0025286523699770535","0.01123046875","0.0029296875","2180","0.0008019498855807601","32","0.0008019498855807601","0","0.0008019498855807601","0.0008019498855807601","63:0.0019045219911049405;43:0.009744927081574678","63:68;43:68","63:0.0018437527413409094;43:0.0039417201713888295","0.007080078125","0.0068359375","Yes"
"57","226.9552163269184","267.7625855508889","0.003173828125","0.0013958519749510958","0.004638671875","0.001708984375","2180","0.00024081122357263383","32","0.00024081122357263383","0","0.00024081122357263383","0.00024081122357263383","47:0.0014859684442133092;67:0.0037940056195489846","47:68;67:68","47:0.001969276647699275;67:0.0014453720600142717","0.003173828125","0.00537109375","Yes"
"58","139.31748485451575","139.3184163993789","0.0162353515625","0.01093200713626245","0.01123046875","0.021240234375","2180","0.00020243211073087993","32","0.00020243211073087993","0","0.00020243211073087993","0.00020243211073087993","71:0.0018760350989739105;51:0.002462832967483314","71:68;51:68","71:0.003072545836668772;51:0.0018706321961811656","0.0162353515625","0.01904296875","Yes"
"59","204.85196458661432","326.66716225299643","0.0050048828125","0.0012034667656809822","0.007080078125","0.0029296875","2180","0.0001425503253907377","32","0.0001425503253907377","0","0.0001425503253907377","0.0001425503253907377","55:0.0010624645666186538;75:0.0022042728319779936","55:68;75:68","55:0.001904151725170028;75:0.0015304789558165388","0.0050048828125","0.005615234375","Yes"
"60","271.6851377299046","37.06097528309897","0.004150390625","0.001344874181855543","0.0068359375","0.00146484375","2180","0.00029180457791632217","32","0.00029180457791632217","0","0.00029180457791632217","0.00029180457791632217","61:0.002432400644995808","61:68","61:0.0026600358190895512","0.004150390625","0.00390625","Yes"
"61","96.738261872712","50.550224121676386","0.0089111328125","0.004725928117947216","0.009033203125","0.0087890625","2180","0.0004086654496469204","32","0.0004086654496469204","0","0.0004086654496469204","0.0004086654496469204","76:0.00243578208763387;60:0.002432400644995808;62:0.0022970746163331057","76:68;60:68;62:68","76:0.0022928131788644557;60:0.0026600358190895512;62:0.0019548812642454227","0.0089111328125","0.009521484375","Yes"
"62","238.5487728809785","109.21548405390159","0.0089111328125","0.008176795583319282","0.003662109375","0.01416015625","2180","0.0002451254739608439","32","0.0002451254739608439","0","0.0002451254739608439","0.0002451254739608439","61:0.0022970746163331057;63:0.0019337072360459673","61:68;63:68","61:0.0019548812642454227;63:0.0016982791948944032","0.0089111328125","0.01806640625","Yes"
