"Qubit","T1 (us)","T2 (us)","Readout assignment error","Init error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","XSLOW error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"55","258.0278667301144","90.29381037638089","0.015625","0.005222458987904464","0.01025390625","0.02099609375","2180","0.00016824930888528194","32","0.00016824930888528194","0","0.00016824930888528194","0.00016824930888528194","0.00016824930888528194","59:0.0011787330573382049;54:0.0015605273931657837","59:68;54:68","59:0.000913832354429267;54:0.0017095551253181185","0.015625","0.006591796875","Yes"
"56","230.4048446853074","39.20911945707474","0.00830078125","0.0004029830900978799","0.01318359375","0.00341796875","2180","0.00017973661132385368","32","0.00017973661132385368","0","0.00017973661132385368","0.00017973661132385368","0.00017973661132385368","63:0.001603381716366925;43:0.005177241912885433","63:68;43:68","63:0.0017849679923092054;43:0.0042040309047856605","0.00830078125","0.008056640625","Yes"
"57","169.2701291017863","215.55756988706207","0.007080078125","0.002496695024250347","0.00830078125","0.005859375","2180","0.000261355401209562","32","0.000261355401209562","0","0.000261355401209562","0.000261355401209562","0.000261355401209562","47:0.002026777144548464;67:0.001829498368940058","47:68;67:68","47:0.002027044610755313;67:0.0020898443174804937","0.007080078125","0.00732421875","Yes"
"58","185.14285777649405","134.58427311746865","0.010009765625","0.005500871330518593","0.00732421875","0.0126953125","2180","0.00017610541082494497","32","0.00017610541082494497","0","0.00017610541082494497","0.00017610541082494497","0.00017610541082494497","71:0.001431009792593585;51:0.0021920521907908275","71:68;51:68","71:0.0011796949861359873;51:0.0016106211079214838","0.010009765625","0.010009765625","Yes"
"59","253.09276423681555","355.1468750469521","0.003173828125","0.002600500266150357","0.00439453125","0.001953125","2180","0.00017104938011120965","32","0.00017104938011120965","0","0.00017104938011120965","0.00017104938011120965","0.00017104938011120965","55:0.0011787330573382049;75:0.0012355480579584466","55:68;75:68","55:0.000913832354429267;75:0.0027081441117087213","0.003173828125","0.002685546875","Yes"
"60","258.28193196090103","46.41435418501736","0.00244140625","0.0002","0.00341796875","0.00146484375","2180","0.0005175433520333316","32","0.0005175433520333316","0","0.0005175433520333316","0.0005175433520333316","0.0005175433520333316","61:0.002157703077489137","61:68","61:0.0030114193649385668","0.00244140625","0.003173828125","Yes"
"61","136.53635980296662","48.57868408296403","0.010986328125","0.00286722735728459","0.01220703125","0.009765625","2180","0.00023505959820448465","32","0.00023505959820448465","0","0.00023505959820448465","0.00023505959820448465","0.00023505959820448465","76:0.002300987754675965;60:0.002157703077489137;62:0.001559777844646032","76:68;60:68;62:68","76:0.004489353256334316;60:0.0030114193649385668;62:0.0020907008805781946","0.010986328125","0.0078125","Yes"
"62","263.45336954869975","151.15026612121423","0.01025390625","0.012433847990385384","0.00634765625","0.01416015625","2180","0.0001988991064788042","32","0.0001988991064788042","0","0.0001988991064788042","0.0001988991064788042","0.0001988991064788042","61:0.001559777844646032;63:0.0017142792709224086","61:68;63:68","61:0.0020907008805781946;63:0.0025764866248174645","0.01025390625","0.014404296875","Yes"
"63","302.2101946002423","81.69007059924552","0.024658203125","0.004768396231539909","0.0166015625","0.03271484375","2180","0.00027414511898813895","32","0.00027414511898813895","0","0.00027414511898813895","0.00027414511898813895","0.00027414511898813895","56:0.001603381716366925;62:0.0017142792709224086;64:0.0018360592308906132","56:68;62:68;64:68","56:0.0017849679923092054;62:0.0025764866248174645;64:0.0018769457085575647","0.024658203125","0.02783203125","Yes"
"64","282.208225882219","150.76861816417744","0.002685546875","0.0010005311201287486","0.00439453125","0.0009765625","2180","0.0005244734645091004","32","0.0005244734645091004","0","0.0005244734645091004","0.0005244734645091004","0.0005244734645091004","65:0.0018260949680148908;63:0.0018360592308906132","65:68;63:68","65:0.0016089362693683107;63:0.0018769457085575647","0.002685546875","0.00830078125","Yes"
