"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"45","288.21042529146484","168.12480820694176","0.0069580078125","0.007568359375","0.00634765625","2280","0.00017196378640524422","32","0.00017196378640524422","0","0.00017196378640524422","0.00017196378640524422","44:0.01044872009269554;46:0.0015938741491224317;37:0.0026800516241168026","44:68;46:68;37:68","44:0.006498528603329695;46:0.001650149447640581;37:0.002530601810416838","0.0069580078125","0.00390625","Yes"
"46","137.303784629904","113.23891908204953","0.0042724609375","0.0078125","0.000732421875","2280","0.00022620986410169824","32","0.00022620986410169824","0","0.00022620986410169824","0.00022620986410169824","45:0.0015938741491224317;47:0.0015446557249214343","45:68;47:68","45:0.001650149447640581;47:0.0014012780029365735","0.0042724609375","0.00390625","Yes"
"47","302.92097738618406","251.41134690249956","0.0042724609375","0.005615234375","0.0029296875","2280","0.0004349691855458965","32","0.0004349691855458965","0","0.0004349691855458965","0.0004349691855458965","48:0.0023449851055209747;57:0.003980170647336856;46:0.0015446557249214343","48:68;57:68;46:68","48:0.0022002142126816004;57:0.0019054402688457872;46:0.0014012780029365735","0.0042724609375","0.009033203125","Yes"
"48","90.7676622298395","17.14534928359208","0.005126953125","0.0068359375","0.00341796875","2280","0.00017029021386538165","32","0.00017029021386538165","0","0.00017029021386538165","0.00017029021386538165","47:0.0023449851055209747;49:0.0027665333141857484","47:68;49:68","47:0.0022002142126816004;49:0.0017899551280997905","0.005126953125","0.004150390625","Yes"
"49","310.19419026294355","105.13784898537048","0.016357421875","0.011962890625","0.020751953125","2280","0.000263876205607666","32","0.000263876205607666","0","0.000263876205607666","0.000263876205607666","48:0.0027665333141857484;50:0.0023145857124848013;38:0.002270783970681506","48:68;50:68;38:68","48:0.0017899551280997905;50:0.0020560492817744414;38:0.0020524797034335296","0.016357421875","0.014892578125","Yes"
"50","342.70848380215614","366.90927221080636","0.0054931640625","0.008544921875","0.00244140625","2280","0.0002770353597921044","32","0.0002770353597921044","0","0.0002770353597921044","0.0002770353597921044","49:0.0023145857124848013;51:0.0031947456490175052","49:68;51:68","49:0.0020560492817744414;51:0.0034323056989375156","0.0054931640625","0.0078125","Yes"
"51","248.48161564892825","152.1843339298178","0.0296630859375","0.0234375","0.035888671875","2280","0.00009484457175630558","32","0.00009484457175630558","0","0.00009484457175630558","0.00009484457175630558","50:0.0031947456490175052;52:0.002264112002904828;58:0.0021670827246366153","50:68;52:68;58:68","50:0.0034323056989375156;52:0.002174940063026626;58:0.001979578031577278","0.0296630859375","0.01904296875","Yes"
"52","276.07491736676684","51.700737458081576","0.0291748046875","0.0361328125","0.022216796875","2280","0.0002539208716538059","32","0.0002539208716538059","0","0.0002539208716538059","0.0002539208716538059","51:0.002264112002904828;53:0.0018891949988167622","51:68;53:68","51:0.002174940063026626;53:0.0014800943905169395","0.0291748046875","0.015625","Yes"
"53","302.39008670586634","70.50235540363909","0.007568359375","0.007568359375","0.007568359375","2280","0.00014394661089916222","32","0.00014394661089916222","0","0.00014394661089916222","0.00014394661089916222","39:0.0018815725992781251;52:0.0018891949988167622;54:0.0010369424213800271","39:68;52:68;54:68","39:0.0013787718063262844;52:0.0014800943905169395;54:0.002454536961694065","0.007568359375","0.007568359375","Yes"
"54","304.0468150433143","204.68940756035505","0.0443115234375","0.081298828125","0.00732421875","2280","0.00022926210938203385","32","0.00022926210938203385","0","0.00022926210938203385","0.00022926210938203385","53:0.0010369424213800271;55:0.003526667018194929","53:68;55:68","53:0.002454536961694065;55:0.0013284411816455732","0.0443115234375","0.0224609375","Yes"
"55","209.14324659571457","94.02586053212566","0.0150146484375","0.0107421875","0.019287109375","2280","0.0002524114411639221","32","0.0002524114411639221","0","0.0002524114411639221","0.0002524114411639221","59:0.0009996781337424931;54:0.003526667018194929","59:68;54:68","59:0.0010928597821184272;54:0.0013284411816455732","0.0150146484375","0.007080078125","Yes"
"56","304.38747317974185","36.714244041565706","0.0133056640625","0.01513671875","0.011474609375","2280","0.00021594319317462524","32","0.00021594319317462524","0","0.00021594319317462524","0.00021594319317462524","63:0.0019041618230359048;43:0.00256964946923402","63:68;43:68","63:0.002324693509032222;43:0.002372483412446974","0.0133056640625","0.01123046875","Yes"
"57","224.38799720983602","271.76901889227565","0.0072021484375","0.010009765625","0.00439453125","2280","0.0002466975656972314","32","0.0002466975656972314","0","0.0002466975656972314","0.0002466975656972314","47:0.003980170647336856;67:0.002800917718754098","47:68;67:68","47:0.0019054402688457872;67:0.0019605422001079953","0.0072021484375","0.00634765625","Yes"
"58","297.8089483727247","158.62229424713598","0.0157470703125","0.006591796875","0.02490234375","2280","0.00016416366654159684","32","0.00016416366654159684","0","0.00016416366654159684","0.00016416366654159684","71:0.0014563194559763515;51:0.0021670827246366153","71:68;51:68","71:0.0017896577174917327;51:0.001979578031577278","0.0157470703125","0.02001953125","Yes"
"59","299.7565504647976","394.6288855356094","0.0069580078125","0.008544921875","0.00537109375","2280","0.00014298594664142162","32","0.00014298594664142162","0","0.00014298594664142162","0.00014298594664142162","55:0.0009996781337424931;75:0.0013448667351684818","55:68;75:68","55:0.0010928597821184272;75:0.001057277372573856","0.0069580078125","0.00537109375","Yes"
"60","310.8473028028838","37.23633218642718","0.00537109375","0.00830078125","0.00244140625","2280","0.00036685175231429226","32","0.00036685175231429226","0","0.00036685175231429226","0.00036685175231429226","61:0.0025827601634711983","61:68","61:0.0025472860501389583","0.00537109375","0.00390625","Yes"
"61","146.8400366037978","40.984954741830755","0.0108642578125","0.0087890625","0.010498046875","2280","0.0002358257778854215","32","0.0002358257778854215","0","0.0002358257778854215","0.0002358257778854215","76:0.002349315001712815;60:0.0025827601634711983;62:0.0017572493280268442","76:68;60:68;62:68","76:0.0026015528161243973;60:0.0025472860501389583;62:0.001918276275290287","0.0108642578125","0.00732421875","Yes"
"62","148.89012115443342","95.08712545595607","0.0238037109375","0.0126953125","0.034912109375","2280","0.00022065330410768805","32","0.00022065330410768805","0","0.00022065330410768805","0.00022065330410768805","61:0.0017572493280268442;63:0.002140519277874231","61:68;63:68","61:0.001918276275290287;63:0.0020427672770600425","0.0238037109375","0.014404296875","Yes"
"63","223.9200256113495","53.97558493251044","0.01611328125","0.009521484375","0.022705078125","2280","0.00034109334803285047","32","0.00034109334803285047","0","0.00034109334803285047","0.00034109334803285047","56:0.0019041618230359048;62:0.002140519277874231;64:0.0019120815334847663","56:68;62:68;64:68","56:0.002324693509032222;62:0.0020427672770600425;64:0.0019841063958308536","0.01611328125","0.030517578125","Yes"
"64","236.79238640089198","116.66465105118863","0.0050048828125","0.007568359375","0.00244140625","2280","0.00029503738630741786","32","0.00029503738630741786","0","0.00029503738630741786","0.00029503738630741786","65:0.0017434700822130667;63:0.0019120815334847663","65:68;63:68","65:0.001592338402688409;63:0.0019841063958308536","0.0050048828125","0.00537109375","Yes"
"65","288.9660017258029","212.48670305985954","0.0172119140625","0.028564453125","0.005859375","2280","0.00040870704134630487","32","0.00040870704134630487","0","0.00040870704134630487","0.00040870704134630487","64:0.0017434700822130667;66:0.0019896297268359175;77:0.0014684196868661181","64:68;66:68;77:68","64:0.001592338402688409;66:0.001954128128708904;77:0.0017174665888477492","0.0172119140625","0.005859375","Yes"
"66","108.08617069099905","150.60204317988905","0.0089111328125","0.015869140625","0.001953125","2280","0.000434018177761034","32","0.000434018177761034","0","0.000434018177761034","0.000434018177761034","65:0.0019896297268359175;67:0.0018454086181397544","65:68;67:68","65:0.001954128128708904;67:0.0017645710700177897","0.0089111328125","0.0048828125","Yes"
"67","191.66822768412598","201.76395324778386","0.0074462890625","0.011474609375","0.00341796875","2280","0.00024658079410304394","32","0.00024658079410304394","0","0.00024658079410304394","0.00024658079410304394","68:0.001561398071215775;57:0.002800917718754098;66:0.0018454086181397544","68:68;57:68;66:68","68:0.0012287668083107994;57:0.0019605422001079953;66:0.0017645710700177897","0.0074462890625","0.005126953125","Yes"
"68","184.95363651794995","147.74192296355915","0.0804443359375","0.158935546875","0.001953125","2280","0.0001853738958709291","32","0.0001853738958709291","0","0.0001853738958709291","0.0001853738958709291","67:0.001561398071215775;69:0.0013869901632395376","67:68;69:68","67:0.0012287668083107994;69:0.001270815811304754","0.0804443359375","0.00634765625","Yes"
"69","266.08366394198066","203.6797501240884","0.0076904296875","0.00439453125","0.010986328125","2280","0.00016004259563080406","32","0.00016004259563080406","0","0.00016004259563080406","0.00016004259563080406","78:0.0020262901120290666;68:0.0013869901632395376;70:0.002617971882046266","78:68;68:68;70:68","78:0.0039896020422348355;68:0.001270815811304754;70:0.002635558940895094","0.0076904296875","0.00732421875","Yes"
"70","330.17959127658406","299.3082685596123","0.033203125","0.02490234375","0.04150390625","2280","0.00025898845011153017","32","0.00025898845011153017","0","0.00025898845011153017","0.00025898845011153017","69:0.002617971882046266;71:0.002413469503631277","69:68;71:68","69:0.002635558940895094;71:0.0028007437059138773","0.033203125","0.0478515625","Yes"
"71","303.64430105468983","183.03286939947174","0.0079345703125","0.007080078125","0.0087890625","2280","0.00015404317309815238","32","0.00015404317309815238","0","0.00015404317309815238","0.00015404317309815238","72:0.0015949520728238964;58:0.0014563194559763515;70:0.002413469503631277","72:68;58:68;70:68","72:0.0017464699952084162;58:0.0017896577174917327;70:0.0028007437059138773","0.0079345703125","0.0087890625","Yes"
"72","251.65043328754248","138.6228069567851","0.0472412109375","0.087646484375","0.0068359375","2280","0.00018477625703577458","32","0.00018477625703577458","0","0.00018477625703577458","0.00018477625703577458","73:0.001693071755058062;71:0.0015949520728238964","73:68;71:68","73:0.0014078485745163127;71:0.0017464699952084162","0.0472412109375","0.016845703125","Yes"
"73","358.74589132130495","225.60843340106192","0.0655517578125","0.046142578125","0.0849609375","2280","0.00030277542898889657","32","0.00030277542898889657","0","0.00030277542898889657","0.00030277542898889657","72:0.001693071755058062;74:0.001835936464209209;79:0.0013134908093364317","72:68;74:68;79:68","72:0.0014078485745163127;74:0.001576703047713096;79:0.001272050680676845","0.0655517578125","0.046875","Yes"
"74","282.1578161502964","163.00821842814491","0.00830078125","0.009521484375","0.007080078125","2280","0.00020445434319336437","32","0.00020445434319336437","0","0.00020445434319336437","0.00020445434319336437","73:0.001835936464209209;75:0.001427858368766688","73:68;75:68","73:0.001576703047713096;75:0.003115765599695647","0.00830078125","0.008544921875","Yes"
"75","250.56505372272377","112.24502439183873","0.010009765625","0.014404296875","0.005615234375","2280","0.00012580660120972128","32","0.00012580660120972128","0","0.00012580660120972128","0.00012580660120972128","59:0.0013448667351684818;74:0.001427858368766688","59:68;74:68","59:0.001057277372573856;74:0.003115765599695647","0.010009765625","0.04296875","Yes"
"76","161.58902592814388","49.391237142685966","0.015625","0.017578125","0.013671875","2280","0.00027091993792254817","32","0.00027091993792254817","0","0.00027091993792254817","0.00027091993792254817","81:0.002943295862654821;61:0.002349315001712815","81:68;61:68","81:0.0019955520838441376;61:0.0026015528161243973","0.015625","0.009765625","Yes"
"77","329.26189858362255","247.51026362915658","0.0072021484375","0.008056640625","0.00634765625","2280","0.00013826722565881772","32","0.00013826722565881772","0","0.00013826722565881772","0.00013826722565881772","85:0.004864524015763538;65:0.0014684196868661181","85:68;65:68","85:0.005599904938058481;65:0.0017174665888477492","0.0072021484375","0.0048828125","Yes"
"78","341.1275242858224","34.17849567805242","0.03466796875","0.033203125","0.036865234375","2280","0.0002560147346414863","32","0.0002560147346414863","0","0.0002560147346414863","0.0002560147346414863","69:0.0020262901120290666;89:0.0021647803836578328","69:68;89:68","69:0.0039896020422348355;89:0.002126261746602215","0.03466796875","0.031494140625","Yes"
"79","311.75610754864994","104.12965816198783","0.0091552734375","0.007568359375","0.0107421875","2280","0.00024160985404093492","32","0.00024160985404093492","0","0.00024160985404093492","0.00024160985404093492","93:0.001406328327181211;73:0.0013134908093364317","93:68;73:68","93:0.0009838591660738805;73:0.001272050680676845","0.0091552734375","0.00927734375","Yes"
"80","380.4012949187196","322.5111821946818","0.006103515625","0.0068359375","0.00537109375","2280","0.00025270431507594377","32","0.00025270431507594377","0","0.00025270431507594377","0.00025270431507594377","81:0.0014392004840420025","81:68","81:0.0012723860624572758","0.006103515625","0.03857421875","Yes"
